date,LIC,LMC,UMC,HIC
21may2021,.039999999,2.01,2.79,20.83
22may2021,.039999999,2.04,2.8399999,21.030001
23may2021,.039999999,2.05,2.8699999,21.18
24may2021,.050000001,2.0699999,2.8900001,21.379999
25may2021,.050000001,2.0899999,2.9300001,21.629999
26may2021,.050000001,2.1099999,2.96,21.940001
27may2021,.050000001,2.1400001,2.99,22.24
28may2021,.050000001,2.1500001,3.04,22.610001
29may2021,.050000001,2.1700001,3.0699999,22.790001
30may2021,.059999999,2.1900001,3.0899999,22.959999
31may2021,.059999999,2.23,3.1199999,23.139999
01jun2021,.059999999,2.26,3.1900001,23.43
02jun2021,.07,2.29,3.24,23.74
03jun2021,.07,2.3099999,3.28,24.02
04jun2021,.07,2.3399999,3.3299999,24.42
05jun2021,.07,2.3599999,3.3599999,24.65
06jun2021,.090000004,2.3699999,3.3699999,24.889999
07jun2021,.1,2.4000001,3.4100001,25.16
08jun2021,.1,2.4400001,3.46,25.48
09jun2021,.1,2.47,3.51,25.85
10jun2021,.11,2.5,3.5599999,26.23
11jun2021,.11,2.52,3.6199999,26.68
12jun2021,.11,2.55,3.6600001,26.9
13jun2021,.11,2.5699999,3.6800001,27.17
14jun2021,.12,2.5999999,3.72,27.49
15jun2021,.12,2.6600001,3.77,27.84
16jun2021,.12,2.6900001,3.8099999,28.26
17jun2021,.12,2.72,3.8800001,28.639999
18jun2021,.12,2.75,3.9400001,29.09
19jun2021,.12,2.78,4,29.309999
20jun2021,.13,2.79,4.0300002,29.57
21jun2021,.13,2.8299999,4.0900002,29.84
22jun2021,.14,2.8699999,4.1500001,30.24
23jun2021,.14,2.8900001,4.21,30.639999
24jun2021,.14,2.9300001,4.29,31
25jun2021,.14,2.97,4.3499999,31.450001
26jun2021,.14,3.02,4.3899999,31.73
27jun2021,.15000001,3.05,4.4200001,32.130001
28jun2021,.15000001,3.0899999,4.48,32.470001
29jun2021,.15000001,3.1600001,4.5500002,32.860001
30jun2021,.15000001,3.2,4.6199999,33.25
01jul2021,.15000001,3.25,4.6900001,33.610001
02jul2021,.15000001,3.27,4.75,34.09
03jul2021,.15000001,3.3599999,4.8000002,34.389999
04jul2021,.16,3.4000001,4.8299999,34.66
05jul2021,.17,3.46,4.8899999,35.18
06jul2021,.18000001,3.51,4.96,35.540001
07jul2021,.18000001,3.5699999,5.0599999,35.939999
08jul2021,.18000001,3.6900001,5.1599998,36.32
09jul2021,.18000001,3.71,5.23,36.810001
10jul2021,.18000001,3.8,5.29,37.060001
11jul2021,.19,3.8199999,5.3600001,37.360001
12jul2021,.19,3.9000001,5.4699998,37.700001
13jul2021,.19,3.97,5.5500002,38.080002
14jul2021,.19,4.04,5.6700001,38.459999
15jul2021,.19,4.1100001,5.7800002,38.869999
16jul2021,.2,4.1900001,5.8699999,39.369999
17jul2021,.2,4.2600002,5.9400001,39.650002
18jul2021,.2,4.2600002,6,39.93
19jul2021,.23,4.3699999,6.0599999,40.25
20jul2021,.23999999,4.4200001,6.1700001,40.59
21jul2021,.23999999,4.46,6.2600002,40.959999
22jul2021,.23999999,4.54,6.3899999,41.290001
23jul2021,.23999999,4.6199999,6.5,41.709999
24jul2021,.23999999,4.6900001,6.5799999,41.950001
25jul2021,.23999999,4.75,6.6599998,42.23
26jul2021,.23999999,4.9000001,6.7600002,42.549999
27jul2021,.25,4.98,6.9000001,42.900002
28jul2021,.25,5.04,7.04,43.25
29jul2021,.25,5.1700001,7.1799998,43.580002
30jul2021,.27000001,5.25,7.3200002,44.009998
31jul2021,.27000001,5.2800002,7.4200001,44.240002
01aug2021,.27000001,5.3699999,7.4699998,44.470001
02aug2021,.27000001,5.46,7.5599999,44.720001
03aug2021,.27000001,5.6300001,7.6700001,45.029999
04aug2021,.27000001,5.6900001,7.8000002,45.32
05aug2021,.28,5.7800002,7.9099998,45.639999
06aug2021,.28,5.8499999,8.0200005,46.040001
07aug2021,.28,5.9400001,8.1199999,46.25
08aug2021,.28,6.0100002,8.1999998,46.459999
09aug2021,.31,6.27,8.29,46.689999
10aug2021,.31,6.3600001,8.4499998,46.959999
11aug2021,.31,6.46,8.5799999,47.25
12aug2021,.34,6.52,39.5,47.560001
13aug2021,.34,6.6700001,39.68,47.919998
14aug2021,.34,6.77,39.84,48.080002
15aug2021,.34,6.8099999,39.919998,48.27
16aug2021,.36000001,6.9200001,40.029999,48.52
17aug2021,.37,7.0300002,40.18,48.810001
18aug2021,.37,7.1100001,40.34,49.099998
19aug2021,.37,7.21,40.48,49.400002
20aug2021,.44,7.3800001,40.619999,49.720001
21aug2021,.44999999,7.46,40.720001,49.91
22aug2021,.46000001,7.54,40.790001,50.130001
23aug2021,.47999999,7.5999999,40.900002,50.439999
24aug2021,.47999999,7.77,41.029999,50.740002
25aug2021,.5,7.9400001,41.16,51.029999
26aug2021,.5,8.0600004,45.75,51.32
27aug2021,.50999999,8.2299995,46.009998,51.639999
28aug2021,.50999999,8.3599997,46.119999,51.84
29aug2021,.54000002,8.5600004,46.189999,52.09
30aug2021,.56999999,8.6700001,46.310001,52.330002
31aug2021,.56999999,8.8400002,46.439999,52.610001
01sep2021,.58999997,9.04,46.610001,52.880001
02sep2021,.58999997,9.1700001,46.740002,53.130001
03sep2021,.58999997,9.2700005,46.880001,53.41
04sep2021,.58999997,9.4099998,47,53.57
05sep2021,.60000002,9.6099997,47.07,53.799999
06sep2021,.63999999,9.7299995,50.330002,53.990002
07sep2021,.63999999,9.8800001,50.450001,54.23
08sep2021,.67000002,10.14,50.66,54.450001
09sep2021,.67000002,10.39,50.860001,54.669998
10sep2021,.68000001,10.48,51.099998,54.93
11sep2021,.68000001,10.69,51.240002,55.099998
12sep2021,.69,10.9,51.299999,55.290001
13sep2021,.70999998,11.06,51.419998,55.509998
14sep2021,.87,11.18,51.57,55.700001
15sep2021,.87,11.35,53.380001,55.919998
16sep2021,.87,11.54,53.509998,56.139999
17sep2021,.89999998,11.68,53.650002,56.389999
18sep2021,.94,11.97,54.16,56.549999
19sep2021,.95999998,12.16,54.25,56.720001
20sep2021,.99000001,12.33,54.360001,56.849998
21sep2021,.99000001,12.5,54.52,57.029999
22sep2021,1.02,12.65,54.669998,57.209999
23sep2021,1.04,12.83,54.790001,57.380001
24sep2021,1.04,13.02,54.919998,57.610001
25sep2021,1.05,13.17,55,57.779999
26sep2021,1.08,13.28,55.080002,57.939999
27sep2021,1.1,13.64,55.200001,58.139999
28sep2021,1.11,13.77,56.32,58.360001
29sep2021,1.13,13.92,56.43,58.560001
