date,High Income,Low Income,Lower-Middle Income,Upper-Middle Income
2021-03-02,4.199999809265137,,.119999997317791,.300000011920929
2021-03-03,4.349999904632568,,.1299999952316284,.3199999928474426
2021-03-04,4.510000228881836,,.1400000005960464,.3300000131130219
2021-03-05,4.670000076293945,,.1500000059604645,.3499999940395355
2021-03-06,4.78000020980835,,.1599999964237213,.3600000143051147
2021-03-07,4.840000152587891,,.1700000017881393,.3700000047683716
2021-03-08,4.949999809265137,,.1800000071525574,.3799999952316284
2021-03-09,5.099999904632568,,.1899999976158142,.3899999856948853
2021-03-10,5.269999980926514,,.2000000029802322,.4099999964237213
2021-03-11,5.460000038146973,,.2099999934434891,.4300000071525574
2021-03-12,5.650000095367432,,.2300000041723251,.449999988079071
2021-03-13,5.760000228881836,,.25,.4600000083446503
2021-03-14,5.820000171661377,,.25,.4699999988079071
2021-03-15,5.949999809265137,,.2800000011920929,.4900000095367432
2021-03-16,6.099999904632568,,.300000011920929,.5099999904632568
2021-03-17,6.260000228881836,,.3199999928474426,.5600000023841858
2021-03-18,6.429999828338623,,.3300000131130219,.5799999833106995
2021-03-19,6.599999904632568,,.3499999940395355,.6100000143051147
2021-03-20,6.710000038146973,,.3700000047683716,.6299999952316284
2021-03-21,6.760000228881836,,.3700000047683716,.6299999952316284
2021-03-22,6.889999866485596,,.3899999856948853,.6499999761581421
2021-03-23,7.039999961853027,,.4000000059604645,.6700000166893005
2021-03-24,7.230000019073486,,.4199999868869781,.6899999976158142
2021-03-25,7.440000057220459,,.4399999976158142,.7099999785423279
2021-03-26,7.679999828338623,,.4600000083446503,.7300000190734863
2021-03-27,7.829999923706055,,.4699999988079071,.7400000095367432
2021-03-28,7.900000095367432,,.4699999988079071,.75
2021-03-29,8.069999694824219,,.4799999892711639,.8299999833106995
2021-03-30,8.289999961853027,,.4900000095367432,.8500000238418579
2021-03-31,8.550000190734863,0,.5099999904632568,.8700000047683716
